html_url;description;project;language;organisation;research_group
https://github.com/Open-Systems-Pharmacology/Suite;Open Systems Pharmacology Suite Setup ;research;Rich Text Format;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/PK-Sim;PK-Sim® is a comprehensive software tool for whole-body physiologically based pharmacokinetic modeling;research;C#;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/MoBi;MoBi® is a software tool for multiscale physiological modeling and simulation;research;C#;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/Matlab-Toolbox;Collection of Matlab® functions for the processing of PK-Sim® or MoBi® models;research;Rich Text Format;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/R-Toolbox;;research;R;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/Vision-Mission;Vision & Mission of Open Systems Pharmacology ;no_research;;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.BDDHelper;Helper functions for BDD Development used in the Open Systems Pharmacology Suite;research;C#;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/Forum;Discussion forum for the Open Systems Pharmacology Project;no_research;;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/MiKTeX;MiKTeX distribution used by the Open Systems Pharmacology Suite;no_research;;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.Utility;Cross-cutting concerns implementation used in the Open Systems Pharmacology Suite;research;C#;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.Serializer;Xml serialization engine used in the Open Systems Pharmacology Suite;research;C#;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.DataBinding;DataBinding framework for WinForms application used in the Open Systems Pharmacology Suite;research;C#;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.DataBinding.DevExpress;DataBinding Framework for DevExpress components used by the Open Systems Pharmacology Suite;research;C#;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.TeXReporting;LaTeX Reporting Component for the Open Systems Pharmacology Suite;research;C#;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/DCI;Data Component Interface used in the Open-Systems-Pharmacology Suite ;research;C++;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.FuncParser;Function parser for numeric and logic expressions used by the Open Systems Pharmacology Suite;research;C++;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModel;Calculation engine for models built with PK-Sim® or MoBi®;research;C++;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModel.Solver.CVODES.282;ODE solver used by OSPSuite.SimModel. Based on CVODES solver version 2.8.2 (Copyright © 2002-2016, Lawrence Livermore National Security);research;C;startup;open_systems_pharmacology
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModelSolverBase;Base implementation for all solver used by OSPSuite.SimModel;research;C++;startup;open_systems_pharmacology
