html_url;howfairis_repository;howfairis_license;howfairis_registry;howfairis_citation;howfairis_checklist;fair_score;organisation;dlr_soft_class;project;quick_start_guide;readme_content;help_commands;test_folder;requirements_explicit;continuous_integration;ci_tool;add_lint_rule;add_test_rule;language;repo_type;research_group;comment_category
https://github.com/aipescience/daiquiri-admin;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;none
https://github.com/aipescience/django-daiquiri-tap;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;1;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/aipescience/lightmeter;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;most
https://github.com/aipescience/mysql_sphere;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;;;;C++;user;;none
https://github.com/aipescience/provenance-applause;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;none
https://github.com/aipescience/queryparser;TRUE;TRUE;TRUE;FALSE;FALSE;3;leibniz;1;research;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;github_actions;FALSE;TRUE;Python;user;;most
https://github.com/aipescience/raid-utils;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;some
https://github.com/aipescience/spider-test-data;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/aipescience/sqlite_sphere;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;;;;C++;user;;none
https://github.com/aipescience/uws-client;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;2;research;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;travis;FALSE;FALSE;Python;user;;more
https://github.com/aipescience/verlustdernacht;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;some
https://github.com/aipescience/votable2sql;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;some
https://github.com/aodenweller/green-h2-upscaling;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;R;user;;none
https://github.com/ATB-Potsdam/jupyterhub_dockerized;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/dshoman/MgII;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/ekaterinailin/flare-locations-ensembles-science;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;1;research;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;github_actions;TRUE;TRUE;Python;user;;most
https://github.com/etzinis/biased_separation;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/etzinis/heterogeneous_separation;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/etzinis/nldrp;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;some
https://github.com/etzinis/optimal_condition_training;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;Python;user;;more
https://github.com/etzinis/speech_nlp_labs;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/etzinis/two_step_mask_learning;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;1;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;more
https://github.com/etzinis/unsupervised_spatial_dc;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;more
https://github.com/filipinascimento/bl-network-communities;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/filipinascimento/bl-network-measurements;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/filipinascimento/bl-network-nullmodel;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/filipinascimento/bl-network-preprocess;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
